================================================================================
Summary of training process:
Dataset                : UCI_HAR
Batch size             : 32
Learing rate           : 0.001
Number of total clients: 150
Split method           : distribution
Split parameter        : 0.1
Clients per round      : 15
Number of global rounds: 100
Number of local rounds : 5
Feature from layer     : 1
Feature percentage     : 0.1
Is interplolated       : False
Local training loss    : MCE_DeC_KL
Loss of beta           : 1.0
Algorithm              : FLea
Modelname              : HARNet
Mode                   : training
Seed                   : 0
================================================================================
Dataset: UCI_HAR
training: 7352 testing: 2947
Here
Pre-splits: [   0    1    2 ... 3673 3674 3675]
[   0    1    2 ... 3673 3674 3675]
[4 4 4 ... 3 3 3]
Pre-splits: [3676 3677 3678 ... 7349 7350 7351]
[3676 3677 3678 ... 7349 7350 7351]
[3 3 3 ... 1 1 1]
Done
Class frequencies:
client,class0,class1,class2,class3,class4,class5,Amount
Client   0,0.00,0.00,0.00,0.818,0.00,0.182,11
Client   1,0.00,0.071,0.00,0.286,0.643,0.00,14
Client   2,0.029,0.971,0.00,0.00,0.00,0.00,68
Client   3,0.00,0.059,0.00,0.912,0.00,0.029,34
Client   4,0.00,0.929,0.00,0.024,0.00,0.048,42
Client   5,0.00,0.00,0.00,0.00,1.000,0.00,31
Client   6,0.00,0.00,0.200,0.00,0.800,0.00,15
Client   7,0.00,0.00,0.00,0.500,0.500,0.00,4
Client   8,0.039,0.020,0.00,0.941,0.00,0.00,102
Client   9,0.417,0.00,0.00,0.583,0.00,0.00,12
Client  10,0.056,0.00,0.00,0.111,0.00,0.833,36
Client  11,0.00,0.00,0.00,0.389,0.611,0.00,18
Client  12,0.00,1.000,0.00,0.00,0.00,0.00,74
Client  13,0.00,0.00,0.00,0.00,0.500,0.500,4
Client  14,0.941,0.00,0.00,0.00,0.059,0.00,17
Client  15,0.00,0.00,0.00,1.000,0.00,0.00,50
Client  16,0.011,0.011,0.011,0.00,0.00,0.966,87
Client  17,0.00,0.00,0.00,0.636,0.273,0.091,11
Client  18,0.115,0.00,0.00,0.00,0.885,0.00,113
Client  19,0.00,0.00,0.00,1.000,0.00,0.00,143
Client  20,0.00,0.00,0.250,0.00,0.167,0.583,12
Client  21,0.00,0.00,0.00,0.333,0.667,0.00,9
Client  22,0.600,0.00,0.00,0.00,0.360,0.040,25
Client  23,0.333,0.00,0.00,0.00,0.00,0.667,3
Client  24,0.075,0.00,0.075,0.849,0.00,0.00,53
Client  25,0.00,0.00,0.00,0.571,0.00,0.429,7
Client  26,0.036,0.00,0.929,0.00,0.036,0.00,28
Client  27,0.00,0.00,1.000,0.00,0.00,0.00,58
Client  28,0.00,0.034,0.00,0.672,0.00,0.293,58
Client  29,0.00,0.244,0.00,0.00,0.756,0.00,123
Client  30,0.00,0.795,0.077,0.00,0.128,0.00,39
Client  31,1.000,0.00,0.00,0.00,0.00,0.00,133
Client  32,0.00,0.016,0.00,0.00,0.984,0.00,125
Client  33,0.00,0.00,0.250,0.750,0.00,0.00,36
Client  34,0.00,0.00,0.00,1.000,0.00,0.00,3
Client  35,0.765,0.00,0.00,0.059,0.059,0.118,17
